Modelo de colisao|repeticao|simulacao|nó sensor|PRR
1|16|0.1|nó 1|79.92660000000001
1|17|0.1|nó 1|80.3935
1|18|0.1|nó 1|79.96
1|19|0.1|nó 1|80.5935
1|20|0.1|nó 1|79.96
1|21|0.1|nó 1|80.2267
1|22|0.1|nó 1|80.56020000000001
1|23|0.1|nó 1|81.1604
1|24|0.1|nó 1|82.5275
1|25|0.1|nó 1|80.5268
1|26|0.1|nó 1|79.5932
1|27|0.1|nó 1|82.6275
1|28|0.1|nó 1|80.1601
1|29|0.1|nó 1|80.1934
1|30|0.1|nó 1|81.0937
1|31|0.1|nó 1|80.5
1|32|0.1|nó 1|80.2267
1|33|0.1|nó 1|80.9937
1|34|0.1|nó 1|80.4268
1|35|0.1|nó 1|82.3608
1|36|0.1|nó 1|82.39410000000001
1|37|0.1|nó 1|80.4602
1|38|0.1|nó 1|82.6942
1|39|0.1|nó 1|79.5265
1|40|0.1|nó 1|82.22739999999999
1|41|0.1|nó 1|79.96
1|42|0.1|nó 1|80.4268
1|43|0.1|nó 1|79.9933
1|44|0.1|nó 1|79.5265
1|45|0.1|nó 1|79.75989999999999
1|46|0.1|nó 1|80.56020000000001
1|47|0.1|nó 1|80.2601
1|48|0.1|nó 1|82.3608
1|49|0.1|nó 1|81.36670000000001
1|50|0.1|nó 1|80.0934
1|51|0.1|nó 1|81.92729999999999
1|52|0.1|nó 1|80.2267
1|53|0.1|nó 1|81.3938
1|54|0.1|nó 1|81.2938
1|55|0.1|nó 1|81.6606
1|56|0.1|nó 1|80.89359999999999
1|57|0.1|nó 1|81.6606
1|58|0.1|nó 1|80.0267
1|59|0.1|nó 1|79.75989999999999
1|60|0.1|nó 1|81.2271
1|61|0.1|nó 1|82.2608
1|62|0.1|nó 1|81.1604
1|63|0.1|nó 1|81.6272
1|64|0.1|nó 1|79.8266
1|65|0.1|nó 1|79.5265
1|66|0.1|nó 1|81.0333
1|67|0.1|nó 1|80.8269
1|68|0.1|nó 1|81.5272
1|69|0.1|nó 1|80.7936
1|70|0.1|nó 1|77.6259
1|71|0.1|nó 1|81.79390000000001
1|72|0.1|nó 1|80.5268
1|73|0.1|nó 1|81.1604
1|74|0.1|nó 1|80.49350000000001
1|75|0.1|nó 1|79.25979999999998
1|76|0.1|nó 1|80.2934
1|77|0.1|nó 1|82.0607
1|78|0.1|nó 1|82.2941
1|79|0.1|nó 1|79.8266
1|80|0.1|nó 1|81.69390000000001
1|81|0.1|nó 1|80.89359999999999
1|82|0.1|nó 1|81.0937
1|83|0.1|nó 1|79.7933
1|84|0.1|nó 1|81.1604
1|85|0.1|nó 1|80.0333
1|86|0.1|nó 1|79.35979999999999
1|87|0.1|nó 1|82.3274
1|88|0.1|nó 1|81.49380000000001
1|89|0.1|nó 1|80.7269
1|90|0.1|nó 1|81.4605
1|91|0.1|nó 1|81.2604
1|92|0.1|nó 1|80.8603
1|93|0.1|nó 1|81.127
1|94|0.1|nó 1|81.02699999999999
1|95|0.1|nó 1|81.5939
1|96|0.1|nó 1|80.5333
1|97|0.1|nó 1|81.7272
1|98|0.1|nó 1|81.2271
1|99|0.1|nó 1|80.5935
0|0|0.2|nó 1|93.5312
0|1|0.2|nó 1|92.8976
0|2|0.2|nó 1|92.69760000000001
0|3|0.2|nó 1|93.99799999999999
0|4|0.2|nó 1|93.5312
0|5|0.2|nó 1|93.56450000000001
0|6|0.2|nó 1|94.4648
0|7|0.2|nó 1|93.3645
0|8|0.2|nó 1|92.63090000000001
0|9|0.2|nó 1|93.76459999999999
0|10|0.2|nó 1|94.1981
0|11|0.2|nó 1|93.43110000000001
0|12|0.2|nó 1|93.0977
0|13|0.2|nó 1|93.76459999999999
0|14|0.2|nó 1|92.5975
0|15|0.2|nó 1|93.7667
0|16|0.2|nó 1|93.23110000000001
0|17|0.2|nó 1|93.0977
0|18|0.2|nó 1|93.9313
0|19|0.2|nó 1|93.2333
0|20|0.2|nó 1|93.3311
0|21|0.2|nó 1|93.29780000000001
0|22|0.2|nó 1|93.29780000000001
0|23|0.2|nó 1|92.93100000000001
0|24|0.2|nó 1|92.8643
0|25|0.2|nó 1|92.7643
0|26|0.2|nó 1|93.1644
0|27|0.2|nó 1|92.16409999999999
0|28|0.2|nó 1|93.2333
0|29|0.2|nó 1|92.9643
0|30|0.2|nó 1|93.19770000000001
0|31|0.2|nó 1|92.8643
0|32|0.2|nó 1|93.3311
0|33|0.2|nó 1|93.7312
0|34|0.2|nó 1|93.49780000000001
0|35|0.2|nó 1|92.8976
0|36|0.2|nó 1|92.0
0|37|0.2|nó 1|93.79790000000001
0|38|0.2|nó 1|92.8976
0|39|0.2|nó 1|92.7309
0|40|0.2|nó 1|93.7312
0|41|0.2|nó 1|93.29780000000001
