CastaliaResults -i saida.txt -s Consumed Energy -n --all -o2                                                             

ResourceManager:Consumed Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 94 | 0.932456 | 0.246418 | 0.248566 | 0.243472 | 0.245685 | 0.242103 
InterfModel=0 95 | 0.932461 | 0.245535 | 0.248368 | 0.242488 | 0.245882 | 0.242017 
InterfModel=0 96 | 0.932496 | 0.245636 | 0.248896 | 0.243039 | 0.243962 | 0.242998 
InterfModel=0 97 | 0.932514 | 0.244959 | 0.248419 | 0.243494 | 0.245347 | 0.243242 
InterfModel=0 98 | 0.932494 | 0.245106 | 0.248293 | 0.243619 | 0.246491 | 0.243981 
InterfModel=0 99 | 0.932531 | 0.245885 | 0.248532 | 0.241808 | 0.245188 | 0.245044 
InterfModel=1 0 | 0.932575 | 0.243528 | 0.248716 | 0.242115 | 0.245926 | 0.242286 
InterfModel=1 1 | 0.93257 | 0.245899 | 0.248385 | 0.243771 | 0.244754 | 0.241778 
InterfModel=1 2 | 0.932482 | 0.24471 | 0.248545 | 0.241549 | 0.244337 | 0.242565 
InterfModel=1 3 | 0.932571 | 0.245613 | 0.248373 | 0.243294 | 0.245663 | 0.242664 
InterfModel=1 4 | 0.932532 | 0.245216 | 0.248235 | 0.243066 | 0.245577 | 0.243181 
InterfModel=1 5 | 0.932505 | 0.245522 | 0.248832 | 0.241704 | 0.245828 | 0.243776 
InterfModel=1 6 | 0.932477 | 0.245701 | 0.247704 | 0.240131 | 0.24473 | 0.240437 
InterfModel=1 7 | 0.932523 | 0.246784 | 0.248328 | 0.244414 | 0.245001 | 0.242672 
InterfModel=1 8 | 0.932488 | 0.2452 | 0.248335 | 0.242719 | 0.246178 | 0.242839 
InterfModel=1 9 | 0.93251 | 0.244392 | 0.248654 | 0.243704 | 0.244449 | 0.24109 
InterfModel=1 10 | 0.932545 | 0.244471 | 0.24864 | 0.241988 | 0.245635 | 0.244301 
InterfModel=1 11 | 0.932482 | 0.244766 | 0.248636 | 0.241454 | 0.244765 | 0.240751 
InterfModel=1 12 | 0.932496 | 0.246214 | 0.248311 | 0.244428 | 0.245017 | 0.243602 
InterfModel=1 13 | 0.932571 | 0.2459 | 0.248849 | 0.24396 | 0.246016 | 0.245608 
InterfModel=1 14 | 0.932589 | 0.244597 | 0.248784 | 0.240948 | 0.245796 | 0.243099 
InterfModel=1 15 | 0.932454 | 0.246395 | 0.248149 | 0.241594 | 0.245704 | 0.243933 
InterfModel=1 16 | 0.932464 | 0.245499 | 0.248134 | 0.243544 | 0.245886 | 0.242799 
InterfModel=1 17 | 0.932546 | 0.245523 | 0.248562 | 0.241523 | 0.245711 | 0.242531 
InterfModel=1 18 | 0.932537 | 0.245544 | 0.248843 | 0.242589 | 0.244657 | 0.243243 
InterfModel=1 19 | 0.932523 | 0.244458 | 0.248465 | 0.242258 | 0.245319 | 0.243342 
InterfModel=1 20 | 0.932564 | 0.246869 | 0.248773 | 0.242527 | 0.245815 | 0.24341 
InterfModel=1 21 | 0.932446 | 0.244948 | 0.248125 | 0.240173 | 0.246201 | 0.242809 
InterfModel=1 22 | 0.932568 | 0.247406 | 0.248768 | 0.242047 | 0.246558 | 0.244043 
InterfModel=1 23 | 0.932584 | 0.245551 | 0.248835 | 0.243193 | 0.244995 | 0.243166 
InterfModel=1 24 | 0.932455 | 0.245739 | 0.247861 | 0.243076 | 0.243208 | 0.242717 
InterfModel=1 25 | 0.932588 | 0.245696 | 0.248212 | 0.241781 | 0.245917 | 0.242628 
InterfModel=1 26 | 0.932541 | 0.246221 | 0.248699 | 0.242993 | 0.24503 | 0.245041 
InterfModel=1 27 | 0.932571 | 0.244985 | 0.248562 | 0.241483 | 0.246479 | 0.244566 
InterfModel=1 28 | 0.932553 | 0.245218 | 0.248549 | 0.243741 | 0.24587 | 0.243337 
InterfModel=1 29 | 0.932505 | 0.245669 | 0.248691 | 0.240905 | 0.245858 | 0.243286 
InterfModel=1 30 | 0.932483 | 0.245522 | 0.248073 | 0.241387 | 0.246909 | 0.244297 
InterfModel=1 31 | 0.932552 | 0.245762 | 0.248506 | 0.242617 | 0.245906 | 0.242119 
InterfModel=1 32 | 0.932591 | 0.245312 | 0.248541 | 0.24304 | 0.24622 | 0.244337 
InterfModel=1 33 | 0.932535 | 0.245777 | 0.248007 | 0.243697 | 0.245904 | 0.243237 
InterfModel=1 34 | 0.932544 | 0.244432 | 0.248536 | 0.24057 | 0.245502 | 0.243265 
InterfModel=1 35 | 0.932477 | 0.244833 | 0.247668 | 0.243697 | 0.245837 | 0.242736 
InterfModel=1 36 | 0.932473 | 0.245468 | 0.248393 | 0.243154 | 0.244621 | 0.242926 
InterfModel=1 37 | 0.932568 | 0.245637 | 0.248881 | 0.242496 | 0.245377 | 0.244355 
InterfModel=1 38 | 0.932519 | 0.244983 | 0.248191 | 0.243555 | 0.245312 | 0.243037 
InterfModel=1 39 | 0.932462 | 0.244084 | 0.248362 | 0.243308 | 0.245366 | 0.242933 
InterfModel=1 40 | 0.932506 | 0.246907 | 0.248461 | 0.241536 | 0.24394 | 0.243595 
InterfModel=1 41 | 0.932485 | 0.246047 | 0.248378 | 0.242051 | 0.246053 | 0.242923 
InterfModel=1 42 | 0.932477 | 0.244771 | 0.248477 | 0.242124 | 0.245087 | 0.244181 
InterfModel=1 43 | 0.932543 | 0.246633 | 0.248564 | 0.24271 | 0.244869 | 0.243613 
InterfModel=1 44 | 0.932461 | 0.244822 | 0.248837 | 0.241365 | 0.243726 | 0.240559 
InterfModel=1 45 | 0.932499 | 0.245297 | 0.248391 | 0.242513 | 0.245495 | 0.243925 
InterfModel=1 46 | 0.932543 | 0.245312 | 0.248299 | 0.241907 | 0.245343 | 0.243155 
InterfModel=1 47 | 0.932501 | 0.246266 | 0.248608 | 0.241318 | 0.245837 | 0.243796 
InterfModel=1 48 | 0.932531 | 0.245481 | 0.248017 | 0.243182 | 0.24569 | 0.244438 
InterfModel=1 49 | 0.93253 | 0.244334 | 0.248559 | 0.241549 | 0.245539 | 0.242525 
InterfModel=1 50 | 0.932565 | 0.245564 | 0.248412 | 0.243983 | 0.245508 | 0.243084 
InterfModel=1 51 | 0.932503 | 0.244981 | 0.248259 | 0.242863 | 0.245506 | 0.243107 
InterfModel=1 52 | 0.932593 | 0.246855 | 0.248509 | 0.241097 | 0.246298 | 0.243984 
InterfModel=1 53 | 0.932452 | 0.244759 | 0.248222 | 0.243111 | 0.245519 | 0.242407 
InterfModel=1 54 | 0.932473 | 0.244513 | 0.24761 | 0.24312 | 0.245188 | 0.243885 
InterfModel=1 55 | 0.932482 | 0.245697 | 0.248093 | 0.243563 | 0.245687 | 0.242908 
InterfModel=1 56 | 0.932535 | 0.245136 | 0.248532 | 0.243425 | 0.245735 | 0.243082 
InterfModel=1 57 | 0.932453 | 0.246082 | 0.248268 | 0.242495 | 0.246166 | 0.241641 
