CastaliaResults -i saida.txt -s Packets reception rate -n --all -o2                                                                    

Application:Packets reception rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 99 | 0.947649 | 0.952651 | 0.952878 | 0.848913 | 0.832489 
InterfModel=1 0 | 0.896966 | 0.904301 | 0.915537 | 0.732098 | 0.702987 
InterfModel=1 1 | 0.897966 | 0.904635 | 0.915314 | 0.758069 | 0.690851 
InterfModel=1 2 | 0.896667 | 0.900967 | 0.913314 | 0.758101 | 0.693426 
InterfModel=1 3 | 0.901634 | 0.904301 | 0.909313 | 0.733396 | 0.711028 
InterfModel=1 4 | 0.894333 | 0.906636 | 0.907313 | 0.748766 | 0.704321 
InterfModel=1 5 | 0.8993 | 0.905969 | 0.915314 | 0.742198 | 0.706894 
InterfModel=1 6 | 0.9013 | 0.898333 | 0.913092 | 0.743333 | 0.704361 
InterfModel=1 7 | 0.905969 | 0.906969 | 0.909091 | 0.736098 | 0.724497 
InterfModel=1 8 | 0.897633 | 0.910637 | 0.908646 | 0.73913 | 0.72263 
InterfModel=1 9 | 0.9003 | 0.905635 | 0.913536 | 0.734765 | 0.692359 
InterfModel=1 10 | 0.900967 | 0.914305 | 0.90998 | 0.73833 | 0.707028 
InterfModel=1 11 | 0.905302 | 0.902968 | 0.90798 | 0.734996 | 0.706494 
InterfModel=1 12 | 0.898633 | 0.910637 | 0.909091 | 0.753034 | 0.697293 
InterfModel=1 13 | 0.897633 | 0.898966 | 0.913536 | 0.734596 | 0.709828 
InterfModel=1 14 | 0.898633 | 0.911971 | 0.916648 | 0.730897 | 0.709961 
InterfModel=1 15 | 0.896632 | 0.913638 | 0.907535 | 0.7469 | 0.70316 
InterfModel=1 16 | 0.897299 | 0.911971 | 0.921316 | 0.736765 | 0.705255 
InterfModel=1 17 | 0.906969 | 0.912304 | 0.912647 | 0.755167 | 0.708494 
InterfModel=1 18 | 0.896299 | 0.906969 | 0.92465 | 0.727964 | 0.711562 
InterfModel=1 19 | 0.907302 | 0.908303 | 0.915092 | 0.73873 | 0.721392 
InterfModel=1 20 | 0.900967 | 0.904667 | 0.91487 | 0.742232 | 0.702094 
InterfModel=1 21 | 0.896632 | 0.902968 | 0.914425 | 0.725794 | 0.724763 
InterfModel=1 22 | 0.903301 | 0.900333 | 0.910889 | 0.766636 | 0.69 
InterfModel=1 23 | 0.894632 | 0.90897 | 0.908869 | 0.72423 | 0.72623 
InterfModel=1 24 | 0.901967 | 0.919973 | 0.91198 | 0.744233 | 0.69876 
InterfModel=1 25 | 0.904968 | 0.903968 | 0.905979 | 0.736765 | 0.705788 
InterfModel=1 26 | 0.903635 | 0.911637 | 0.919982 | 0.751967 | 0.701027 
InterfModel=1 27 | 0.903635 | 0.9003 | 0.909535 | 0.754133 | 0.712933 
InterfModel=1 28 | 0.9003 | 0.914972 | 0.914425 | 0.727164 | 0.723393 
InterfModel=1 29 | 0.9003 | 0.90997 | 0.921983 | 0.758501 | 0.697693 
InterfModel=1 30 | 0.9013 | 0.907667 | 0.912647 | 0.741398 | 0.720363 
InterfModel=1 31 | 0.906 | 0.90897 | 0.906868 | 0.745299 | 0.706188 
InterfModel=1 32 | 0.902634 | 0.903301 | 0.908869 | 0.730764 | 0.714133 
InterfModel=1 33 | 0.9003 | 0.913304 | 0.917093 | 0.752234 | 0.707428 
InterfModel=1 34 | 0.903301 | 0.903635 | 0.913759 | 0.744366 | 0.69996 
InterfModel=1 35 | 0.895965 | 0.906969 | 0.910425 | 0.749133 | 0.712895 
InterfModel=1 36 | 0.900967 | 0.904968 | 0.920427 | 0.72823 | 0.719429 
InterfModel=1 37 | 0.901634 | 0.916639 | 0.912647 | 0.738765 | 0.713467 
InterfModel=1 38 | 0.901634 | 0.912638 | 0.914648 | 0.746999 | 0.708094 
InterfModel=1 39 | 0.902968 | 0.915639 | 0.911758 | 0.736232 | 0.704667 
InterfModel=1 40 | 0.902301 | 0.912971 | 0.91 | 0.749433 | 0.703427 
InterfModel=1 41 | 0.904635 | 0.906969 | 0.910222 | 0.734231 | 0.709961 
InterfModel=1 42 | 0.889963 | 0.911637 | 0.912425 | 0.7336 | 0.730461 
InterfModel=1 43 | 0.896966 | 0.909303 | 0.907535 | 0.7469 | 0.708761 
InterfModel=1 44 | 0.896632 | 0.901634 | 0.920427 | 0.749433 | 0.697026 
