CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=1 5 | 108.375 | 109.028 | 69.8743 | 52.5881 | 54.7463 
InterfModel=1 6 | 108.213 | 109.419 | 69.5887 | 52.2591 | 54.1905 
InterfModel=1 7 | 108.13 | 108.687 | 71.1416 | 52.8383 | 53.1741 
InterfModel=1 8 | 108.434 | 108.252 | 70.6829 | 52.8815 | 53.3481 
InterfModel=1 9 | 107.757 | 108.99 | 70.5898 | 52.8151 | 55.2796 
InterfModel=1 10 | 107.711 | 107.95 | 70.3667 | 52.8221 | 54.8537 
InterfModel=1 11 | 107.325 | 109.304 | 70.3659 | 52.8737 | 54.0976 
InterfModel=1 12 | 108.761 | 108.242 | 71.1457 | 51.6534 | 55.4604 
InterfModel=1 13 | 108.744 | 109.885 | 70.6638 | 53.1728 | 54.9295 
InterfModel=1 14 | 108.047 | 108.289 | 69.5545 | 53.3871 | 54.3584 
InterfModel=1 15 | 109.084 | 107.816 | 70.4413 | 52.2238 | 55.0724 
InterfModel=1 16 | 108.607 | 108.006 | 69.9477 | 52.9814 | 54.6607 
InterfModel=1 17 | 107.459 | 108.153 | 70.0262 | 51.6534 | 54.3436 
InterfModel=1 18 | 108.748 | 108.912 | 69.4221 | 53.3538 | 54.2683 
InterfModel=1 19 | 106.954 | 108.587 | 70.0517 | 52.7254 | 53.5575 
InterfModel=1 20 | 108.768 | 109.122 | 70.1465 | 52.5757 | 55.0377 
InterfModel=1 21 | 108.444 | 109.079 | 69.4993 | 53.8582 | 53.1846 
InterfModel=1 22 | 108.723 | 109.645 | 70.2979 | 51.056 | 56.1405 
InterfModel=1 23 | 108.954 | 108.669 | 70.8034 | 53.703 | 53.1552 
InterfModel=1 24 | 108.15 | 106.949 | 70.528 | 51.8784 | 55.1428 
InterfModel=1 25 | 107.773 | 108.997 | 70.6168 | 52.988 | 54.5811 
InterfModel=1 26 | 108.162 | 108.292 | 69.8906 | 51.7294 | 55.4908 
InterfModel=1 27 | 107.62 | 109.595 | 70.2541 | 51.8789 | 54.4512 
InterfModel=1 28 | 108.121 | 107.832 | 70.5319 | 53.6773 | 53.4084 
InterfModel=1 29 | 108.32 | 108.487 | 69.1397 | 51.4572 | 55.3568 
InterfModel=1 30 | 108.135 | 108.456 | 69.9868 | 52.8762 | 53.8375 
InterfModel=1 31 | 107.643 | 108.526 | 70.7916 | 52.3787 | 54.4356 
InterfModel=1 32 | 107.883 | 109.222 | 70.759 | 53.4888 | 54.3088 
InterfModel=1 33 | 108.367 | 107.793 | 70.314 | 51.8956 | 54.584 
InterfModel=1 34 | 107.416 | 109.179 | 69.6651 | 52.3584 | 55.1727 
InterfModel=1 35 | 108.473 | 108.398 | 70.829 | 52.103 | 54.0537 
InterfModel=1 36 | 108.151 | 108.956 | 69.9031 | 53.3263 | 53.6048 
InterfModel=1 37 | 108.145 | 107.78 | 70.3082 | 52.7285 | 54.3633 
InterfModel=1 38 | 107.858 | 107.952 | 70.4609 | 52.1404 | 54.4878 
InterfModel=1 39 | 107.303 | 107.673 | 70.6125 | 52.9076 | 54.7221 
InterfModel=1 40 | 108.624 | 108.03 | 70.2181 | 51.6734 | 54.9751 
InterfModel=1 41 | 107.967 | 108.709 | 70.3506 | 53.2002 | 54.3189 
InterfModel=1 42 | 109.177 | 108.195 | 70.2175 | 53.0299 | 53.0751 
InterfModel=1 43 | 109.149 | 108.511 | 70.7667 | 52.0462 | 54.5654 
InterfModel=1 44 | 108.388 | 109.554 | 69.3888 | 51.6282 | 54.7885 
InterfModel=1 45 | 107.242 | 108.277 | 70.1595 | 52.8684 | 53.8652 
InterfModel=1 46 | 108.082 | 108.515 | 70.3088 | 53.3373 | 54.0157 
InterfModel=1 47 | 108.663 | 107.976 | 70.6376 | 52.3079 | 54.5551 
InterfModel=1 48 | 107.718 | 108.272 | 69.8269 | 53.0638 | 55.2177 
InterfModel=1 49 | 107.691 | 108.034 | 69.9144 | 52.4884 | 53.7954 
InterfModel=1 50 | 107.834 | 108.924 | 71.1901 | 52.4253 | 53.9697 
InterfModel=1 51 | 107.499 | 108.378 | 70.1753 | 52.2843 | 54.8547 
InterfModel=1 52 | 107.528 | 108.806 | 69.8175 | 53.1951 | 54.8654 
InterfModel=1 53 | 107.481 | 107.573 | 70.5382 | 53.0077 | 54.4799 
InterfModel=1 54 | 106.782 | 107.739 | 70.3692 | 52.2726 | 54.2994 
InterfModel=1 55 | 107.773 | 107.088 | 70.1225 | 52.8141 | 53.7103 
InterfModel=1 56 | 108.125 | 108.656 | 70.6637 | 52.8435 | 53.6491 
InterfModel=1 57 | 107.625 | 109.506 | 70.2054 | 52.7362 | 54.6585 
InterfModel=1 58 | 106.88 | 109.445 | 69.26 | 52.5685 | 54.9657 
InterfModel=1 59 | 106.674 | 108.156 | 69.7375 | 52.7448 | 54.4322 
InterfModel=1 60 | 107.452 | 109.011 | 71.0725 | 51.9772 | 54.3947 
InterfModel=1 61 | 108.469 | 109.718 | 69.6115 | 53.0536 | 54.9138 
InterfModel=1 62 | 107.307 | 107.405 | 69.974 | 52.2826 | 54.5301 
InterfModel=1 63 | 107.578 | 107.894 | 70.882 | 54.0786 | 53.7491 
InterfModel=1 64 | 107.965 | 108.238 | 70.4252 | 52.2184 | 54.1902 
