CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=2 13 | - | 21 | 20 | 2169 | 788 
InterfModel=0,node=2 14 | - | 23 | 25 | 2189 | 760 
InterfModel=0,node=2 15 | - | 17 | 28 | 2170 | 782 
InterfModel=0,node=2 16 | - | 17 | 21 | 2216 | 743 
InterfModel=0,node=2 17 | - | 27 | 22 | 2178 | 770 
InterfModel=0,node=2 18 | - | 29 | 26 | 2197 | 747 
InterfModel=0,node=2 19 | - | 15 | 19 | 2288 | 676 
InterfModel=0,node=2 20 | - | 20 | 19 | 2249 | 709 
InterfModel=0,node=2 21 | - | 21 | 15 | 2201 | 762 
InterfModel=0,node=2 22 | - | 21 | 19 | 2215 | 742 
InterfModel=0,node=2 23 | - | 16 | 31 | 2152 | 800 
InterfModel=0,node=2 24 | - | 17 | 23 | 2135 | 824 
InterfModel=0,node=2 25 | - | 23 | 14 | 2240 | 722 
InterfModel=0,node=2 26 | - | 19 | 30 | 2219 | 731 
InterfModel=0,node=2 27 | - | 15 | 18 | 2157 | 806 
InterfModel=0,node=2 28 | - | 12 | 22 | 2171 | 792 
InterfModel=0,node=2 29 | - | 24 | 13 | 2245 | 717 
InterfModel=0,node=2 30 | - | 25 | 22 | 2262 | 690 
InterfModel=0,node=2 31 | - | 21 | 34 | 2155 | 787 
InterfModel=0,node=2 32 | - | 24 | 24 | 2199 | 751 
InterfModel=0,node=2 33 | - | 17 | 25 | 2228 | 728 
InterfModel=0,node=2 34 | - | 20 | 20 | 2250 | 704 
InterfModel=0,node=2 35 | - | 19 | 16 | 2257 | 705 
InterfModel=0,node=2 36 | - | 17 | 32 | 2145 | 804 
InterfModel=0,node=2 37 | - | 27 | 26 | 2216 | 728 
InterfModel=0,node=2 38 | - | 20 | 22 | 2244 | 711 
InterfModel=0,node=2 39 | - | 10 | 17 | 2226 | 744 
InterfModel=0,node=2 40 | - | 21 | 21 | 2290 | 665 
InterfModel=0,node=2 41 | - | 24 | 15 | 2264 | 693 
InterfModel=0,node=2 42 | - | 26 | 18 | 2238 | 715 
InterfModel=0,node=2 43 | - | 21 | 25 | 2167 | 784 
InterfModel=0,node=2 44 | - | 18 | 25 | 2181 | 773 
InterfModel=0,node=2 45 | - | 12 | 23 | 2246 | 718 
InterfModel=0,node=2 46 | - | 20 | 27 | 2205 | 746 
InterfModel=0,node=2 47 | - | 16 | 41 | 2161 | 780 
InterfModel=0,node=2 48 | - | 18 | 29 | 2165 | 784 
InterfModel=0,node=2 49 | - | 19 | 36 | 2197 | 747 
InterfModel=0,node=2 50 | - | 16 | 15 | 2243 | 723 
InterfModel=0,node=2 51 | - | 13 | 27 | 2176 | 783 
InterfModel=0,node=2 52 | - | 23 | 25 | 2244 | 705 
InterfModel=0,node=2 53 | - | 19 | 20 | 2220 | 738 
InterfModel=0,node=2 54 | - | 20 | 13 | 2275 | 689 
InterfModel=0,node=2 55 | - | 26 | 27 | 2241 | 703 
InterfModel=0,node=2 56 | - | 24 | 23 | 2215 | 736 
InterfModel=0,node=2 57 | - | 29 | 27 | 2200 | 742 
InterfModel=0,node=2 58 | - | 15 | 15 | 2252 | 716 
InterfModel=0,node=2 59 | - | 22 | 20 | 2201 | 755 
InterfModel=0,node=2 60 | - | 17 | 13 | 2237 | 730 
InterfModel=0,node=2 61 | - | 14 | 19 | 2197 | 769 
InterfModel=0,node=2 62 | - | 13 | 26 | 2213 | 747 
InterfModel=0,node=2 63 | - | 20 | 18 | 2266 | 693 
InterfModel=0,node=2 64 | - | 22 | 19 | 2250 | 704 
InterfModel=0,node=2 65 | - | 14 | 18 | 2158 | 808 
InterfModel=0,node=2 66 | - | 25 | 20 | 2252 | 702 
InterfModel=0,node=2 67 | - | 18 | 34 | 2207 | 738 
InterfModel=0,node=2 68 | - | 23 | 23 | 2229 | 723 
InterfModel=0,node=2 69 | - | 14 | 25 | 2211 | 747 
InterfModel=0,node=2 70 | - | 30 | 15 | 2264 | 689 
InterfModel=0,node=2 71 | - | 20 | 20 | 2165 | 792 
InterfModel=0,node=2 72 | - | 20 | 26 | 2231 | 720 
InterfModel=0,node=2 73 | - | 17 | 12 | 2237 | 731 
InterfModel=0,node=2 74 | - | 19 | 28 | 2193 | 759 
InterfModel=0,node=2 75 | - | 26 | 32 | 2199 | 741 
InterfModel=0,node=2 76 | - | 23 | 25 | 2265 | 685 
InterfModel=0,node=2 77 | - | 17 | 25 | 2151 | 805 
InterfModel=0,node=2 78 | - | 18 | 29 | 2196 | 754 
InterfModel=0,node=2 79 | - | 17 | 20 | 2229 | 733 
InterfModel=0,node=2 80 | - | 14 | 16 | 2268 | 701 
InterfModel=0,node=2 81 | - | 26 | 26 | 2268 | 677 
InterfModel=0,node=2 82 | - | 16 | 19 | 2223 | 741 
InterfModel=0,node=2 83 | - | 21 | 19 | 2150 | 805 
InterfModel=0,node=2 84 | - | 13 | 17 | 2254 | 714 
InterfModel=0,node=2 85 | - | 19 | 25 | 2177 | 777 
InterfModel=0,node=2 86 | - | 21 | 33 | 2155 | 789 
InterfModel=0,node=2 87 | - | 19 | 23 | 2171 | 784 
InterfModel=0,node=2 88 | - | 18 | 28 | 2214 | 737 
InterfModel=0,node=2 89 | - | 24 | 24 | 2262 | 689 
InterfModel=0,node=2 90 | - | 16 | 22 | 2274 | 686 
InterfModel=0,node=2 91 | - | 15 | 24 | 2180 | 780 
InterfModel=0,node=2 92 | - | 21 | 20 | 2167 | 790 
InterfModel=0,node=2 93 | - | 27 | 23 | 2178 | 769 
InterfModel=0,node=2 94 | - | 17 | 25 | 2162 | 792 
InterfModel=0,node=2 95 | - | 22 | 32 | 2216 | 727 
InterfModel=0,node=2 96 | - | 16 | 25 | 2216 | 741 
InterfModel=0,node=2 97 | - | 27 | 22 | 2241 | 709 
InterfModel=0,node=2 98 | - | 22 | 27 | 2200 | 750 
InterfModel=0,node=2 99 | - | 25 | 23 | 2205 | 746 
InterfModel=0,node=3 0 | 4 | 19 | 212 | 3190 | 1074 
InterfModel=0,node=3 1 | 22 | 14 | 272 | 3212 | 990 
InterfModel=0,node=3 2 | 10 | 19 | 267 | 3096 | 1092 
InterfModel=0,node=3 3 | 7 | 18 | 238 | 3320 | 920 
InterfModel=0,node=3 4 | 12 | 13 | 223 | 3292 | 969 
InterfModel=0,node=3 5 | 5 | 18 | 239 | 3234 | 989 
InterfModel=0,node=3 6 | 22 | 27 | 224 | 3275 | 970 
InterfModel=0,node=3 7 | 4 | 17 | 268 | 3222 | 987 
InterfModel=0,node=3 8 | 6 | 14 | 209 | 3260 | 1016 
InterfModel=0,node=3 9 | 2 | 16 | 223 | 3329 | 920 
InterfModel=0,node=3 10 | 7 | 22 | 245 | 3230 | 997 
InterfModel=0,node=3 11 | 4 | 15 | 262 | 3304 | 912 
InterfModel=0,node=3 12 | 5 | 21 | 235 | 3271 | 954 
InterfModel=0,node=3 13 | 12 | 18 | 274 | 3247 | 939 
InterfModel=0,node=3 14 | 1 | 13 | 232 | 3134 | 1096 
InterfModel=0,node=3 15 | 17 | 14 | 224 | 3337 | 921 
InterfModel=0,node=3 16 | 20 | 25 | 208 | 3171 | 1088 
InterfModel=0,node=3 17 | 1 | 18 | 253 | 3217 | 1001 
InterfModel=0,node=3 18 | 1 | 26 | 247 | 3301 | 923 
InterfModel=0,node=3 19 | 2 | 18 | 267 | 3250 | 942 
