CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=1 64 | 108.367 | 106.415 | 78.553 | 61.464 | 62.4813 
InterfModel=1 65 | 107.286 | 105.286 | 79.6637 | 62.1446 | 62.1527 
InterfModel=1 66 | 106.782 | 106.197 | 81.3297 | 59.7593 | 62.6498 
InterfModel=1 67 | 107.728 | 104.926 | 76.0874 | 60.084 | 62.0867 
InterfModel=1 68 | 107.829 | 105.955 | 79.8136 | 61.2095 | 62.1216 
InterfModel=1 69 | 108.618 | 105.722 | 77.6604 | 61.4604 | 62.0019 
InterfModel=1 70 | 107.315 | 104.81 | 81.1242 | 61.3521 | 61.4131 
InterfModel=1 71 | 107.717 | 105.245 | 82.5811 | 60.1007 | 62.6841 
InterfModel=1 72 | 107.737 | 105.876 | 81.3548 | 61.5454 | 63.3125 
InterfModel=1 73 | 108.058 | 105.773 | 80.3517 | 59.7271 | 63.052 
InterfModel=1 74 | 107.85 | 106.509 | 83.2329 | 61.0562 | 60.7071 
InterfModel=1 75 | 106.483 | 107.466 | 80.5661 | 60.8297 | 60.6226 
InterfModel=1 76 | 108.626 | 105.735 | 78.511 | 63.1838 | 61.3808 
InterfModel=1 77 | 106.681 | 106.134 | 81.8519 | 60.9407 | 61.9042 
InterfModel=1 78 | 107.482 | 105.455 | 79.1656 | 60.7267 | 62.893 
InterfModel=1 79 | 107.553 | 105.225 | 79.8869 | 59.6788 | 63.6255 
InterfModel=1 80 | 106.983 | 104.586 | 77.9226 | 60.7293 | 63.2341 
InterfModel=1 81 | 106.737 | 105.949 | 79.9431 | 61.0468 | 61.6489 
InterfModel=1 82 | 108.086 | 107.191 | 80.8108 | 62.5878 | 62.5482 
InterfModel=1 83 | 108.292 | 105.575 | 80.4552 | 60.91 | 64.2925 
InterfModel=1 84 | 106.142 | 104.944 | 77.1214 | 61.0997 | 61.7035 
InterfModel=1 85 | 105.816 | 105.569 | 81.5232 | 60.0482 | 63.052 
InterfModel=1 86 | 107.447 | 106.434 | 81.2899 | 60.3458 | 63.33 
InterfModel=1 87 | 107.158 | 105.346 | 81.3922 | 58.8614 | 62.3939 
InterfModel=1 88 | 107.343 | 106.531 | 81.1276 | 59.9251 | 63.1095 
InterfModel=1 89 | 106.787 | 104.649 | 79.2428 | 59.8013 | 63.0961 
InterfModel=1 90 | 106.883 | 106.082 | 79.6233 | 61.6078 | 62.0847 
InterfModel=1 91 | 106.667 | 104.877 | 80.8375 | 59.0852 | 63.8858 
InterfModel=1 92 | 106.599 | 105.992 | 77.429 | 61.6571 | 62.8401 
InterfModel=1 93 | 106.428 | 104.885 | 78.4641 | 60.3498 | 63.1742 
InterfModel=1 94 | 106.328 | 105.749 | 81.5527 | 60.1243 | 62.6824 
InterfModel=1 95 | 106.8 | 105.659 | 76.9473 | 60.7499 | 63.6355 
InterfModel=1 96 | 107.657 | 106.072 | 79.7604 | 62.578 | 62.0722 
InterfModel=1 97 | 106.396 | 106.656 | 80.8345 | 61.0042 | 61.1119 
InterfModel=1 98 | 107.611 | 106.196 | 79.7549 | 62.409 | 62.4223 
InterfModel=1 99 | 109.007 | 106.302 | 78.6041 | 61.7732 | 63.7865 
InterfModel=2 0 | 106.234 | 100.918 | 75.755 | 54.8244 | 50.6085 
InterfModel=2 1 | 105.544 | 100.64 | 76.7023 | 52.502 | 52.0387 
InterfModel=2 2 | 105.836 | 100.124 | 74.14 | 53.9196 | 51.484 
InterfModel=2 3 | 106.237 | 100.644 | 73.4619 | 53.2316 | 51.8201 
InterfModel=2 4 | 105.695 | 100.95 | 77.7205 | 54.2944 | 51.722 
InterfModel=2 5 | 104.423 | 100.885 | 73.8967 | 53.9581 | 51.9449 
